type,precision,recall,f1-score,support,mis_from_top5,mis_to_top5
day,1.0,0.5,0.6666666666666666,6,[],"[('class', 1), ('date', 1), ('age', 1)]"
depth,0.0,0.0,0.0,1,[],"[('length', 1)]"
description,0.4666666666666667,0.11864406779661017,0.18918918918918917,59,"[('notes', 3), ('type', 2), ('category', 1), ('location', 1), ('name', 1)]","[('name', 12), ('type', 10), ('code', 3), ('manufacturer', 2), ('company', 2)]"
diMare,0.0,0.0,0.0,0,"[('name', 1)]",[]
diary,0.0,0.0,0.0,0,"[('type', 1)]",[]
distance,0.0,0.0,0.0,0,"[('city', 1)]",[]
due,0.0,0.0,0.0,0,"[('status', 1)]",[]
duration,1.0,0.6666666666666666,0.8,3,[],"[('type', 1)]"
effectiveDate,0.0,0.0,0.0,0,"[('description', 1)]",[]
elevation,0.0,0.0,0.0,1,"[('name', 1)]","[('weight', 1)]"
eri,0.0,0.0,0.0,0,"[('country', 1)]",[]
expression,0.0,0.0,0.0,0,"[('type', 1)]",[]
family,0.0,0.0,0.0,2,[],"[('religion', 2)]"
fb,0.0,0.0,0.0,0,"[('code', 1)]",[]
fileNumber,0.0,0.0,0.0,0,"[('type', 1)]",[]
